"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"1" 75 0 190 80 22.1606648199446 91 193 371 174 121 -16 64 64 -2 63 2
"2" 56 1 165 64 23.5078053259871 81 174 401 149 39 25 -17 -17 31 53 2
"3" 54 0 172 95 32.1119524067063 138 163 386 185 102 96 70 70 66 75 2
"4" 55 0 175 94 30.6938775510204 100 202 380 179 143 28 -5 -5 20 71 1
"5" 75 0 190 80 22.1606648199446 88 181 360 177 103 -16 61 61 3 0 2
"6" 13 0 169 51 17.8565176289346 100 167 321 174 91 107 52 52 88 84 2
"7" 40 1 160 52 20.3125 77 129 377 133 77 77 75 75 65 70 1
"8" 49 1 162 54 20.5761316872428 78 0 376 157 70 67 8 8 51 67 1
"9" 44 0 168 56 19.8412698412698 84 118 354 160 63 61 78 78 66 64 1
"10" 50 1 167 67 24.023808670085 89 130 383 156 73 85 70 70 71 63 2
"11" 62 0 170 72 24.9134948096886 102 135 401 156 83 72 68 68 72 70 2
"12" 45 1 165 86 31.5886134067952 77 143 373 150 65 12 49 49 26 72 1
"13" 54 1 172 58 19.6051919956733 78 155 382 163 81 -24 41 41 -13 73 2
"14" 30 0 170 73 25.2595155709343 91 180 355 157 104 68 60 60 63 56 2
"15" 44 1 160 88 34.375 77 158 399 163 94 46 45 45 40 72 1
"16" 47 1 150 48 21.3333333333333 75 132 350 169 65 36 68 68 40 76 1
"17" 47 0 171 59 20.1771485243323 82 145 347 169 61 77 77 77 75 67 2
"18" 46 1 158 58 23.2334561768947 70 120 353 122 52 57 -2 -2 54 70 1
"19" 73 0 165 63 23.1404958677686 91 154 392 175 83 73 61 61 42 66 1
"20" 57 1 166 72 26.1286108288576 82 181 399 158 79 -12 50 50 1 66 1
"21" 28 1 160 58 22.65625 83 251 383 189 183 50 46 46 43 76 1
"22" 45 0 169 67 23.458562375267 90 122 336 177 78 81 67 67 80 66 1
"23" 36 1 153 75 32.0389593745995 71 132 364 169 82 62 45 45 60 77 1
"24" 57 1 165 59 21.6712580348944 75 157 406 143 92 4 58 58 5 69 1
"25" 40 1 153 55 23.4952368747063 82 140 388 149 82 52 105 105 42 68 1
"26" 44 0 169 80 28.0102237316621 109 128 382 195 60 -34 154 154 7 63 -1
"27" 34 0 170 73 25.2595155709343 94 186 373 224 125 90 60 60 77 83 2
"28" 31 1 160 54 21.09375 95 161 407 168 83 10 39 39 30 67 2
"29" 56 1 164 65 24.1671624033314 90 164 420 381 99 -8 41 41 0 79 2
"30" 51 1 160 83 32.421875 96 147 400 301 82 -37 -5 -5 -67 71 2
"31" 53 0 175 85 27.7551020408163 85 157 408 172 91 -52 54 54 -32 51 2
"32" 58 1 163 68 25.5937370619895 71 136 339 152 76 13 61 61 14 81 1
"33" 50 1 160 73 28.515625 75 125 353 183 63 38 73 73 35 93 1
"34" 52 1 155 70 29.1363163371488 78 137 368 148 83 9 53 53 21 69 1
"35" 69 0 176 75 24.2122933884298 82 145 357 129 101 49 71 71 47 80 2
"36" 44 1 160 45 17.578125 69 178 357 137 80 62 55 55 53 63 1
"37" 50 0 172 80 27.0416441319632 103 142 366 161 94 54 36 36 30 70 1
"38" 35 1 164 94 34.9494348602023 85 200 385 174 74 48 15 15 39 62 2
"39" 62 1 163 60 22.5827091723437 80 185 354 166 107 -2 40 40 -1 75 1
"40" 45 0 175 80 26.1224489795918 94 163 401 159 106 -57 70 70 -48 53 2
"41" 43 1 157 71 28.8044139721693 80 162 383 141 84 53 39 39 36 70 1
"42" 40 1 160 75 29.296875 79 154 350 160 94 67 65 65 43 82 1
"43" 30 1 160 62 24.21875 92 154 346 158 96 54 64 64 52 91 1
"44" 34 1 165 61 22.4058769513315 84 152 383 144 71 59 61 61 57 64 1
"45" 40 1 160 51 19.921875 86 177 367 147 113 -18 60 60 -12 79 1
"46" 75 1 156 55 22.6002629848784 73 159 350 138 99 -18 57 57 -1 89 2
"47" 69 1 160 71 27.734375 75 156 322 172 105 18 70 70 14 98 2
"48" 30 1 158 57 22.8328793462586 73 137 369 143 77 30 36 36 20 67 1
"49" 41 1 159 55 21.7554685336814 78 228 429 130 94 63 77 77 68 53 2
